id	tool	model	success	verdict	failure	vin	stock	title	make	year	trim	dealer	city	province	listing_status	asking_price_cad	msrp_cad	admin_fee_cad	omvic_fee_cad	exterior_colour	interior_colour	runtime_ms	bytes	url
pathway_ioniq5	Native Node fetch	Hyundai Ioniq 5	YES	ACCEPT_CANDIDATE		KM8KNDDC5TU408198	R61787	2026 Hyundai IONIQ 5	Hyundai	2026	Preferred	Pathway Hyundai	Pathway Hyundai in Orleans	Ontario	NEW_AVAILABLE	61013	59901	799	22	Abyss Black	Black Cloth Exterior Color	564	718834	https://www.pathwayhyundai.com/2026/Hyundai/IONIQ-5/KM8KNDDC5TU408198/
neddys_ioniq5	Native Node fetch	Hyundai Ioniq 5	YES	ACCEPT_CANDIDATE		KM8KRDDC7TU382126	261201	New 2026 Hyundai IONIQ 5 in North Bay, Ontario. Selling for $65,899 with only 25 KM. View this New SUV / Crossover and contact Neddy&#039;s North Bay Hyundai.	Hyundai	2026	Preferred	Neddy's North Bay Hyundai	North Bay	Ontario	NEW_AVAILABLE	66720	65899	799	22			296	195479	https://www.neddysnorthbayhyundai.ca/inventory/2026-hyundai-ioniq-5/13025872
neddys_ioniq9	Native Node fetch	Hyundai Ioniq 9	NO	REJECT	HTTP_404			Ioniq 9														677	1270	https://www.neddysnorthbayhyundai.ca/inventory/2026-hyundai-ioniq/13144294/
orleans_ev6_sold	Native Node fetch	Kia EV6	YES	REJECT	MSRP_MISSING	5XYC3DJC6SG001770	4429	New 2025 Kia EV6 Land AWD for Sale in Orléans, ON | Orléans Kia		2025		Orléans Kia | Kia Ottawa	Orléans	Ontario	SOLD	60745		599		Ebony Black Interior Colour Black Transm	Black Transmission Automatic Drivetrain	352	894036	https://www.orleanskia.com/inventory/2025-kia-ev6-land-6vpK1tnET1qcmbZkZYrk4Qvdp
